key,shape,dtype,numel
blocks.2.2.bn1.bias,"(192,)",float32,192
blocks.2.2.bn1.num_batches_tracked,(),int64,1
blocks.2.2.bn1.running_mean,"(192,)",float32,192
blocks.2.2.bn1.running_var,"(192,)",float32,192
blocks.2.2.bn1.weight,"(192,)",float32,192
blocks.2.2.bn2.bias,"(192,)",float32,192
blocks.2.2.bn2.num_batches_tracked,(),int64,1
blocks.2.2.bn2.running_mean,"(192,)",float32,192
blocks.2.2.bn2.running_var,"(192,)",float32,192
blocks.2.2.bn2.weight,"(192,)",float32,192
blocks.2.2.bn3.bias,"(32,)",float32,32
blocks.2.2.bn3.num_batches_tracked,(),int64,1
blocks.2.2.bn3.running_mean,"(32,)",float32,32
blocks.2.2.bn3.running_var,"(32,)",float32,32
blocks.2.2.bn3.weight,"(32,)",float32,32
blocks.2.2.conv_dw.weight,"(192, 1, 3, 3)",float32,1728
blocks.2.2.conv_pw.weight,"(192, 32, 1, 1)",float32,6144
blocks.2.2.conv_pwl.weight,"(32, 192, 1, 1)",float32,6144
blocks.3.0.bn1.bias,"(192,)",float32,192
blocks.3.0.bn1.num_batches_tracked,(),int64,1
blocks.3.0.bn1.running_mean,"(192,)",float32,192
blocks.3.0.bn1.running_var,"(192,)",float32,192
blocks.3.0.bn1.weight,"(192,)",float32,192
blocks.3.0.bn2.bias,"(192,)",float32,192
blocks.3.0.bn2.num_batches_tracked,(),int64,1
blocks.3.0.bn2.running_mean,"(192,)",float32,192
blocks.3.0.bn2.running_var,"(192,)",float32,192
blocks.3.0.bn2.weight,"(192,)",float32,192
blocks.3.0.bn3.bias,"(64,)",float32,64
blocks.3.0.bn3.num_batches_tracked,(),int64,1
blocks.3.0.bn3.running_mean,"(64,)",float32,64
blocks.3.0.bn3.running_var,"(64,)",float32,64
blocks.3.0.bn3.weight,"(64,)",float32,64
blocks.3.0.conv_dw.weight,"(192, 1, 3, 3)",float32,1728
blocks.3.0.conv_pw.weight,"(192, 32, 1, 1)",float32,6144
blocks.3.0.conv_pwl.weight,"(64, 192, 1, 1)",float32,12288
blocks.3.1.bn1.bias,"(384,)",float32,384
blocks.3.1.bn1.num_batches_tracked,(),int64,1
blocks.3.1.bn1.running_mean,"(384,)",float32,384
blocks.3.1.bn1.running_var,"(384,)",float32,384
blocks.3.1.bn1.weight,"(384,)",float32,384
blocks.3.1.bn2.bias,"(384,)",float32,384
blocks.3.1.bn2.num_batches_tracked,(),int64,1
blocks.3.1.bn2.running_mean,"(384,)",float32,384
blocks.3.1.bn2.running_var,"(384,)",float32,384
blocks.3.1.bn2.weight,"(384,)",float32,384
blocks.3.1.bn3.bias,"(64,)",float32,64
blocks.3.1.bn3.num_batches_tracked,(),int64,1
blocks.3.1.bn3.running_mean,"(64,)",float32,64
blocks.3.1.bn3.running_var,"(64,)",float32,64
blocks.3.1.bn3.weight,"(64,)",float32,64
blocks.3.1.conv_dw.weight,"(384, 1, 3, 3)",float32,3456
blocks.3.1.conv_pw.weight,"(384, 64, 1, 1)",float32,24576
blocks.3.1.conv_pwl.weight,"(64, 384, 1, 1)",float32,24576
blocks.3.2.bn1.bias,"(384,)",float32,384
blocks.3.2.bn1.num_batches_tracked,(),int64,1
blocks.3.2.bn1.running_mean,"(384,)",float32,384
blocks.3.2.bn1.running_var,"(384,)",float32,384
blocks.3.2.bn1.weight,"(384,)",float32,384
blocks.3.2.bn2.bias,"(384,)",float32,384
blocks.3.2.bn2.num_batches_tracked,(),int64,1
blocks.3.2.bn2.running_mean,"(384,)",float32,384
blocks.3.2.bn2.running_var,"(384,)",float32,384
blocks.3.2.bn2.weight,"(384,)",float32,384
blocks.3.2.bn3.bias,"(64,)",float32,64
blocks.3.2.bn3.num_batches_tracked,(),int64,1
blocks.3.2.bn3.running_mean,"(64,)",float32,64
blocks.3.2.bn3.running_var,"(64,)",float32,64
blocks.3.2.bn3.weight,"(64,)",float32,64
blocks.3.2.conv_dw.weight,"(384, 1, 3, 3)",float32,3456
blocks.3.2.conv_pw.weight,"(384, 64, 1, 1)",float32,24576
blocks.3.2.conv_pwl.weight,"(64, 384, 1, 1)",float32,24576
blocks.3.3.bn1.bias,"(384,)",float32,384
blocks.3.3.bn1.num_batches_tracked,(),int64,1
blocks.3.3.bn1.running_mean,"(384,)",float32,384
blocks.3.3.bn1.running_var,"(384,)",float32,384
blocks.3.3.bn1.weight,"(384,)",float32,384
blocks.3.3.bn2.bias,"(384,)",float32,384
blocks.3.3.bn2.num_batches_tracked,(),int64,1
blocks.3.3.bn2.running_mean,"(384,)",float32,384
blocks.3.3.bn2.running_var,"(384,)",float32,384
blocks.3.3.bn2.weight,"(384,)",float32,384
blocks.3.3.bn3.bias,"(64,)",float32,64
blocks.3.3.bn3.num_batches_tracked,(),int64,1
blocks.3.3.bn3.running_mean,"(64,)",float32,64
blocks.3.3.bn3.running_var,"(64,)",float32,64
blocks.3.3.bn3.weight,"(64,)",float32,64
blocks.3.3.conv_dw.weight,"(384, 1, 3, 3)",float32,3456
blocks.3.3.conv_pw.weight,"(384, 64, 1, 1)",float32,24576
blocks.3.3.conv_pwl.weight,"(64, 384, 1, 1)",float32,24576
blocks.4.0.bn1.bias,"(384,)",float32,384
blocks.4.0.bn1.num_batches_tracked,(),int64,1
blocks.4.0.bn1.running_mean,"(384,)",float32,384
blocks.4.0.bn1.running_var,"(384,)",float32,384
blocks.4.0.bn1.weight,"(384,)",float32,384
blocks.4.0.bn2.bias,"(384,)",float32,384
blocks.4.0.bn2.num_batches_tracked,(),int64,1
blocks.4.0.bn2.running_mean,"(384,)",float32,384
blocks.4.0.bn2.running_var,"(384,)",float32,384
